State,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,Type
Alabama,8.2,8.4,8.2,8.3,8.6,8.9,9.2,9.2,9.4,9.6,9.9,9.4,10.1,10.8,Marriage
Alaska,7.2,7.8,8,7.8,8.4,8.5,8.2,8.2,8.5,8.1,8.3,8.1,8.9,8.6,Marriage
Arizona,5.6,5.7,5.9,5.6,6,6.4,6.5,6.6,6.7,6.5,6.7,7.6,7.5,8.2,Marriage
Arkansas,10.9,10.4,10.8,10.7,10.6,12,12.4,12.9,13.4,13.4,14.3,14.3,15.4,14.8,Marriage
California 1,6,5.8,5.8,5.8,6.7,6.2,6.3,6.4,6.4,6.1,6.2,6.5,5.8,6.4,Marriage
Colorado,6.8,7,6.9,6.9,7.4,7.1,7.2,7.6,7.4,7.8,8,8.2,8.3,8.2,Marriage
Connecticut,5.2,5.5,5.6,5.9,5.4,5.5,5.5,5.8,5.8,5.5,5.7,5.4,5.7,5.8,Marriage
Delaware,5.8,5.2,5.2,5.4,5.5,5.7,5.9,5.9,6.1,6,6.4,6.5,6.5,6.7,Marriage
District of Columbia,8.4,8.7,7.6,4.7,4.1,4.2,4,4.1,5.2,5.1,5.1,6.2,4.9,6.6,Marriage
Florida,7.2,7.4,7.3,7.5,8,8.5,8.6,8.9,9,9,9.4,9.3,8.9,8.7,Marriage
Georgia,6.5,6.6,7.3,6.6,6,6.8,7.3,7,7.9,7,6.5,6.1,6.8,7.8,Marriage
Hawaii,17.5,17.6,17.6,17.2,19.1,20.8,21.9,22.6,22.6,22,20.8,19.6,20.6,18.9,Marriage
Idaho,8.2,8.6,8.8,8.9,9.5,10,10.1,10.5,10.8,10.9,11,11.2,10.8,12.1,Marriage
Illinois,5.8,5.6,5.7,5.7,5.9,6.1,6.2,5.9,6.2,6.5,6.6,7.2,6.9,7,Marriage
Indiana,6.7,6.8,6.3,7.9,8,7,7,6.9,7.8,7.1,7.9,7.9,7.9,8.1,Marriage
Iowa,6.8,6.7,6.9,7,6.5,6.6,6.7,6.9,6.9,6.9,7,7.1,6.9,7.9,Marriage
Kansas,6.3,6.3,6.4,6.4,6.7,6.8,6.8,6.8,7,6.9,7.3,7.5,8.3,7.1,Marriage
Kentucky,7.2,7.5,7.4,7.6,7.9,7.8,8.4,8.7,8.8,9.1,9,9,9.8,10.9,Marriage
Louisiana,5.7,6.4,6.9,7.1,6.8,7.5,---,8,8,8.2,8.1,8.4,9.1,9.1,Marriage
Maine,7.3,7.2,7.1,7.1,7.4,7.4,7.8,8.2,8.6,8.4,8.4,8.6,8.8,8.6,Marriage
Maryland,5.6,5.8,5.7,5.8,5.9,6.5,6.6,6.9,6.9,6.9,7.1,7,7.5,7.5,Marriage
Massachusetts,5.5,5.5,5.6,5.6,5.7,5.9,5.9,6.2,6.5,5.6,5.9,6.2,5.8,6.2,Marriage
Michigan,5.6,5.7,5.5,5.4,5.6,5.7,5.9,6.1,6.2,6.3,6.5,6.7,6.7,6.8,Marriage
Minnesota,5.6,5.6,5.3,5.3,5.4,5.8,6,6,6,6.3,6.5,6.6,6.8,6.8,Marriage
Mississippi,5.8,4.9,4.9,4.8,5.1,5.4,5.7,5.8,6.1,6.2,6.4,6.5,6.9,7.8,Marriage
Missouri,6.5,6.6,6.5,6.5,6.8,6.9,6.9,7,7.1,7.2,7.3,7.5,7.8,8.1,Marriage
Montana,7.8,7.8,7.4,7.3,7.6,7.5,7.4,7.4,7.5,7.2,7.1,7.1,7.3,7.4,Marriage
Nebraska,6.7,6.6,6.6,6.6,6.9,6.8,6.8,7,7.1,7,7.5,7.9,7.6,7.5,Marriage
Nevada,35.1,36.9,38.3,40.3,42.3,48.6,52.1,57.4,62.1,63.9,67.4,69.6,72.2,82.3,Marriage
New Hampshire,6.8,7.1,7.3,6.5,6.8,7.1,7.2,7.3,8,8.1,8.3,8.5,9.4,7.9,Marriage
New Jersey,4.9,4.8,5.1,5,5.4,5.4,5.5,5.7,5.9,5.8,6,6.4,6,5.9,Marriage
New Mexico,6.9,8,7.7,5,4,5.6,6.8,6.6,7.4,6.9,7.9,7.6,8,8,Marriage
New York,7,6.9,6.5,6.5,6.6,6.8,6.9,6.8,6.8,6.8,7.3,7.6,7.1,7.3,Marriage
North Carolina,6.6,6.7,6.6,6.6,6.9,7,7.3,7.3,7.3,7.4,7.7,7.4,8.2,8.5,Marriage
North Dakota,6.6,6.7,6.5,6.4,6.5,6.6,6.7,6.8,6.9,7.1,6.8,6.5,7.2,6.6,Marriage
Ohio,5.8,5.9,5.8,5.8,6,6.1,6.3,6.5,6.6,6.7,7,7.2,7.8,7.8,Marriage
Oklahoma,6.9,6.9,7.2,6.9,7.1,7.3,7.3,7.3,6.5,---,---,---,---,6.8,Marriage
Oregon,6.6,6.6,6.5,6.6,6.9,7.2,7.3,7.3,8.1,7.2,7.1,7.5,7.6,7.6,Marriage
Pennsylvania,5.5,5.3,5.3,5.3,5.5,5.7,5.7,5.8,5.9,5.9,5.7,5.8,6,6.1,Marriage
Rhode Island,6.1,6,5.8,5.9,6.1,6.4,6.6,7,7.7,7.8,7.8,8.1,7.6,7.5,Marriage
South Carolina,7.4,7.2,7.4,7.3,7.3,7.9,7.8,8.3,8.2,9,9.3,9.9,10.6,10.2,Marriage
South Dakota,7.5,7.5,7.3,7.3,7.7,7.8,8,8.4,8.4,8.4,8.8,8.9,9.4,9.1,Marriage
Tennessee,8.8,9,8.8,8.4,9.4,10.1,10.6,10.9,11.4,11.9,13.1,13.5,15.5,14.7,Marriage
Texas,7.3,7.1,7.1,7.1,7.3,7.4,7.6,7.8,8,8.1,8.4,9.1,9.4,9.1,Marriage
Utah,8.4,8.6,8.5,8.4,9,9.6,9.2,9.8,9.9,10.2,10.4,10.2,10.8,9.6,Marriage
Vermont,8.2,8.3,9.3,8.7,7.9,8.5,8.6,8.9,9.4,9.7,9.8,9.8,10,10,Marriage
Virginia,6.8,6.8,6.8,6.9,7.2,7.5,7.8,8.2,8.3,8.4,8.6,8.8,8.8,9.2,Marriage
Washington,6.3,6.1,6,6,6.3,6.4,6.5,6.5,6.5,6.5,6.5,7,6.9,7.2,Marriage
West Virginia,7,7.2,6.7,6.7,7.1,7.3,7.3,7.4,7.5,7.5,8.1,7.9,8.7,7.5,Marriage
Wisconsin,5.4,5.3,5.3,5.3,5.6,5.7,6,6.1,6.2,6.2,6.3,6.5,6.7,6.7,Marriage
Wyoming,7.6,7.8,7.6,8,8.6,9,9.3,9.3,9.3,9.3,9.5,10,10,9.9,Marriage
National Average,6.8,6.8,6.8,6.8,7.1,7.3,7.5,7.6,7.8,7.7,8,8.2,8.2,8.2,Divorce
Alabama,3.6,4.3,4.4,4.4,4.3,4.5,4.9,4.9,4.9,5.2,5.4,5.4,5.5,5.7,Divorce
Alaska,4.5,4.8,4.7,4.4,4.4,4.3,4.2,4.3,4.3,3.9,4.6,4.3,3.9,5,Divorce
Arizona,4.3,3.9,3.5,3.6,3.8,4,4,4.2,4.3,4.4,4.8,4,4.6,4.6,Divorce
Arkansas,5.3,5.3,5.7,5.7,5.5,5.9,5.8,6,6.1,6,6.2,6.2,6.4,6.2,Divorce
California 1,---,---,---,---,---,---,---,---,---,---,---,---,---,---,Divorce
Colorado,4.3,4.4,4.3,4.3,4.3,4.4,4.5,4.4,4.4,4.3,4.7,4.7,4.7,4.8,Divorce
Connecticut,2.7,3.1,2.9,3,3.4,3.2,3.1,3,3.1,3.2,3.3,3.2,3.3,3,Divorce
Delaware,3.5,3.6,3.5,3.6,3.5,3.7,3.8,3.8,3.7,3.9,3.5,3.9,3.9,4.5,Divorce
District of Columbia,2.9,2.9,2.8,2.7,2.7,1.7,2.1,2,1.8,2,2.4,2.9,3.2,3.6,Divorce
Florida,4.2,4.5,4.4,4.2,4.3,4.6,4.7,4.6,4.7,5,5.1,5.2,5.1,5.1,Divorce
Georgia,---,---,---,---,---,---,---,---,---,3.2,2.5,3.1,3.3,4.1,Divorce
Hawaii,---,---,---,---,---,---,---,---,---,---,3.7,4,3.9,3.8,Divorce
Idaho,4.7,4.9,5.2,5,4.8,4.9,5,5,5,5.2,5.3,5.3,5.5,5.4,Divorce
Illinois,2.4,2.6,2.6,2.5,2.5,2.6,2.5,2.6,2.6,2.8,2.9,3.2,3.2,3.3,Divorce
Indiana,---,---,---,---,---,---,---,---,---,---,---,---,---,---,Divorce
Iowa,2.2,2.4,2.4,2.4,2.6,2.5,2.7,2.7,2.8,2.8,3.1,3.3,3.3,3.3,Divorce
Kansas,3.4,3.9,3.7,3.6,3.5,3.4,3.1,3.1,3.3,3.3,3.6,3.4,3.6,3.4,Divorce
Kentucky,4.1,4.4,4.5,4.6,4.6,4.6,5,4.6,4.9,5,5.2,5.1,5.1,5.5,Divorce
Louisiana,---,---,---,---,---,---,---,---,---,3.4,3.3,---,---,---,Divorce
Maine,3.9,4.2,4.2,4.1,4.2,4.2,4.2,4.1,4.3,4.4,4.6,4.7,5,5.1,Divorce
Maryland,2.8,2.9,2.8,2.8,2.8,2.9,3,3.1,3.2,3.2,3.4,3,3.3,3.2,Divorce
Massachusetts,2.7,2.7,2.5,2.2,2,2.3,2.3,2.2,2.2,2.5,2.5,2.4,2.5,2.5,Divorce
Michigan,3.3,3.4,3.5,3.3,3.4,3.4,3.5,3.4,3.5,3.5,3.8,3.9,3.9,3.8,Divorce
Minnesota,---,---,---,---,---,---,---,---,2.8,3,3.1,3.2,3.2,3.2,Divorce
Mississippi,4,4,4.3,4.1,4.3,4.5,4.8,4.4,4.5,4.6,4.9,5,5,5,Divorce
Missouri,3.7,3.9,3.9,3.8,3.7,3.8,3.8,3.6,3.8,3.9,4,4.2,4.5,4.4,Divorce
Montana,3.9,4,3.9,4,4.1,4,4.4,4.5,3.8,3.9,4,4.2,4.2,2.8,Divorce
Nebraska,3.4,3.5,3.6,3.4,3.3,3.4,3.4,3.3,3.4,3.4,3.6,3.6,3.7,3.7,Divorce
Nevada,5.5,5.6,5.9,6.6,6.4,6.4,6.7,7.4,6.3,7.3,7.1,6.3,9.9,7.8,Divorce
