State,Marriage.Rate,Seperation.Rate,Percent.Difference,Distribution
Alabama,8.2 , 3.6  , 0.44 ,0.06
Alaska,7.2 , 4.5  , 0.63 ,-0.13
Arizona,5.6 , 4.3  , 0.77 ,-0.27
Arkansas,10.9, 5.3  , 0.49 ,0.01
California,6.0 , NA , NA ,NA
Colorado ,6.8 , 4.3  , 0.63 ,-0.13
Connecticut ,5.2 , 2.7  , 0.52 ,-0.02
Delaware,5.8 , 3.5  , 0.60 ,-0.10
District of Columbia ,8.4 , 2.9  , 0.35 ,0.15
Florida,7.2 , 4.2  , 0.58 ,-0.08
Georgia ,6.5 , NA , NA ,NA
Hawaii,17.5, NA , NA ,NA
Idaho,8.2 , 4.7  , 0.57 ,-0.07
Illinois,5.8 , 2.4  , 0.41 ,0.09
Indiana,6.7 , NA , NA ,NA
Iowa,6.8 , 2.2  , 0.32 ,0.18
Kansas,6.3 , 3.4  , 0.54 ,-0.04
Kentucky,7.2 , 4.1  , 0.57 ,-0.07
Louisiana,5.7 , NA , NA ,NA
Maine,7.3 , 3.9  , 0.53 ,-0.03
Maryland,5.6 , 2.8  , 0.50 ,0.00
Massachusetts,5.5 , 2.7  , 0.49 ,0.01
Michigan,5.6 , 3.3  , 0.59 ,-0.09
Minnesota,5.6 , NA , NA ,NA
Mississippi,5.8 , 4.0  , 0.69 ,-0.19
Missouri,6.5 , 3.7  , 0.57 ,-0.07
Montana,7.8 , 3.9  , 0.50 ,0.00
Nebraska,6.7 , 3.4  , 0.51 ,-0.01
Nevada,35.1, 5.5  , 0.16 ,0.34
New Hampshire,6.8 , 3.6  , 0.53 ,-0.03
New Jersey,4.9 , 2.8  , 0.57 ,-0.07
New Mexico,6.9 , 3.0  , 0.43 ,0.07
New York,7.0 , 2.9  , 0.41 ,0.09
North Carolina,6.6 , 3.7  , 0.56 ,-0.06
North Dakota,6.6 , 3.1  , 0.47 ,0.03
Ohio,5.8 , 3.4  , 0.59 ,-0.09
Oklahoma,6.9 , 4.8  , 0.70 ,-0.20
Oregon,6.6 , 3.8  , 0.58 ,-0.08
Pennsylvania,5.5 , 2.8  , 0.51 ,-0.01
Rhode Island,6.1 , 3.2  , 0.52 ,-0.02
South Carolina,7.4 , 3.2  , 0.43 ,0.07
South Dakota,7.5 , 3.0  , 0.40 ,0.10
Tennessee,8.8 , 4.2  , 0.48 ,0.02
Texas,7.3 , 3.0  , 0.41 ,0.09
Utah,8.4 , 3.3  , 0.39 ,0.11
Vermont,8.2 , 3.5  , 0.43 ,0.07
Virginia,6.8 , 3.7  , 0.54 ,-0.04
Washington,6.3 , 3.9  , 0.62 ,-0.12
West Virginia,7.0 , 4.7  , 0.67 ,-0.17
Wisconsin,5.4 , 2.9  , 0.54 ,-0.04
Wyoming,7.6 , 4.4  , 0.58 ,-0.08
